title;year;event;location;slides;video
Unbiased effect estimation in the presence of publication bias: A new method for meta-analysis and assessing publication bias;2014;Presentation at the Department of Methodology and Statistics (Tilburg University);Tilburg University, the Netherlands;;
Evaluation of replication;2014;26th Annual Convention of the Association for Psychological Science;San Francisco, USA;;
Unbiased effect estimation in the presence of publication bias: A new method for meta-analysis and assessing publication bias;2014;6th European Congress of Methodology;Utrecht University, the Netherlands;;
Unbiased effect estimation in the presence of publication bias;2014;Invited poster presentation at the seminar 'Improving Scientific Practice: Dealing with the Human Factors';Amsterdam, the Netherlands;Poster_Human_factors_Amsterdam.pdf;
Harmful effects of questionable research practices and publication bias on the results of meta-analysis;2015;1th International Convention of Psychological Science;Amsterdam, the Netherlands;;
Performance of meta-analysis methods in case of questionable research practices and publication bias;2015;27th Annual Convention of the Association for Psychological Science;New York, USA;;
Estimating effect size using original study and replication: A hybrid method;2015;Presentation at the Department of Methodology and Statistics (Tilburg University);Tilburg University, the Netherlands;;
Invited member of a panel of SSMART grant recipients discussing transparency in research;2015;Panel discussion at the 4th Annual Meeting of Berkeley Initiative for Transparency in the Social Science;Berkeley, USA;;
Conducting meta-analyses based on p-values: Reservations and recommendations for applying p-uniform and p-curve;2016;28th Annual Convention of the Association for Psychological Science;Chicago, USA;;
Conducting meta-analyses based on p-values: Reservations and recommendations for applying p-uniform and p-curve;2016;Presentation at MAER-Net (Meta-Analysis of Economics Research Network) 2016 Colloquium;Hendrix College, Conway, USA;;
Estimating the replicability of science: Accounting for statistical significance of the original study;2016;Presentation at the Department of Psychology and Pedagogy (Erasmus University);Erasmus University, Rotterdam, the Netherlands;;
Getting it right with meta-analysis: Correcting effect size for publication bias in meta-analyses from psychology and medicine;2016;5th Annual Meeting of Berkeley Initiative for Transparency in the Social Science;Berkeley, USA;Slides_BITSS_Berkeley.pdf;https://www.youtube.com/watch?v=QiVXUTVQVIo
Correcting for publication bias in a meta-analysis;2017;Presentation at the MRC Biostatistics Unit;University of Cambridge, United Kingdom;;
Estimating replicability of science by taking statistical significance into account;2017;32th IOPS Summer Conference;KU Leuven, Belgium;Slides_IOPS_Leuven.pdf;
Estimating replicability of science by taking statistical significance into account;2017;Presentation at the workshop 'Perspectives on Scientific Error';Tilburg University, the Netherlands;Slides_Scientific_error_Tilburg.pdf;
Estimating replicability of science by taking statistical significance into account;2017; Annual meeting of the Psychometric Society;Zurich, Switzerland;;
The consequences of publication bias and questionable research practices;2017;Invited workshop at the 9th Interuniversity Center for Educational Sciences (ICO);Utrecht University, the Netherlands;;
Meta-analysis and publication bias;2017;Invited workshop at the Research Transparency and Reproducibility Training (RT2) organized by BITSS;London, United Kingdom;Slides_BITSS_London.pdf;
Meta-analysis and publication bias;2018;Invited workshop at the Research Transparency and Reproducibility Training (RT2) organized by BITSS;Amsterdam, the Netherlands;Slides_BITSS_Amsterdam.pdf;
Correcting for publication bias in a meta-analysis with p-uniform*;2018;Annual meeting of the Psychometric Society;New York, USA;IMPS_2018_vanAert_1.pdf;
Correcting for publication bias in a meta-analysis;2018;Presentation at the Department of Psychological Methods (University of Amsterdam);University of Amsterdam, the Netherlands;Colloquium_2018_A_dam_website.pdf;
